initial_temperature,cooling_factor,epoch_length,no_improve_limit,avg_distance
75,0.95,10,15,455867.6
75,0.95,10,20,438701.4
75,0.95,10,30,408920.2
75,0.95,20,5,375216.4
75,0.95,20,10,338577.2
75,0.95,20,15,318742.2
75,0.95,20,20,303877
75,0.95,20,30,286282.4
75,0.95,35,5,276150.6
75,0.95,35,10,252841.8
75,0.95,35,15,238415
75,0.95,35,20,226670.6
75,0.95,35,30,213578.8
75,0.95,50,5,228723.2
75,0.95,50,10,210516.8
75,0.95,50,15,197820.6
75,0.95,50,20,189560.8
75,0.95,50,30,177024
75,0.95,100,5,160495.6
75,0.95,100,10,146093.2
75,0.95,100,15,137715.2
75,0.95,100,20,132070.4
75,0.95,100,30,123570
75,0.99,10,5,534248.6
75,0.99,10,10,486884
75,0.99,10,15,457464.2
75,0.99,10,20,435910.6
75,0.99,10,30,410930.4
75,0.99,20,5,375755.4
75,0.99,20,10,340238.4
75,0.99,20,15,320914.8
75,0.99,20,20,304884
75,0.99,20,30,286200.4
75,0.99,35,5,280829.8
75,0.99,35,10,254262.8
75,0.99,35,15,238818.2
75,0.99,35,20,229229.8
75,0.99,35,30,214107
75,0.99,50,5,231440.6
75,0.99,50,10,210654
75,0.99,50,15,198345.6
75,0.99,50,20,189317.2
75,0.99,50,30,177141.8
75,0.99,100,5,161128
75,0.99,100,10,147139
75,0.99,100,15,138307.8
75,0.99,100,20,131786.6
75,0.99,100,30,123379.8
100,0.8,10,5,533569
100,0.8,10,10,485599.4
100,0.8,10,15,455986
100,0.8,10,20,436731.2
100,0.8,10,30,407662.4
100,0.8,20,5,371004.2
100,0.8,20,10,338550.6
100,0.8,20,15,316573.4
100,0.8,20,20,305523.2
100,0.8,20,30,284455.8
100,0.8,35,5,280192.8
100,0.8,35,10,252577.8
100,0.8,35,15,236786.2
100,0.8,35,20,227769.6
100,0.8,35,30,213544.6
100,0.8,50,5,231379.6
100,0.8,50,10,209204.8
100,0.8,50,15,198086.8
100,0.8,50,20,189160.8
100,0.8,50,30,177034.4
100,0.8,100,5,160839.4
100,0.8,100,10,146417.6
100,0.8,100,15,137933.8
100,0.8,100,20,132271.6
100,0.8,100,30,122528.2
100,0.85,10,5,538553.2
100,0.85,10,10,485070.4
100,0.85,10,15,458009.8
100,0.85,10,20,438257.8
100,0.85,10,30,409317.2
100,0.85,20,5,370860.2
100,0.85,20,10,338852.6
100,0.85,20,15,317891
100,0.85,20,20,304637
100,0.85,20,30,285678.6
100,0.85,35,5,278720.6
100,0.85,35,10,252846.6
100,0.85,35,15,237558
100,0.85,35,20,227580.8
100,0.85,35,30,214002.2
100,0.85,50,5,231070.8
100,0.85,50,10,208326.2
100,0.85,50,15,197879.6
100,0.85,50,20,189297.2
100,0.85,50,30,177171.6
100,0.85,100,5,160688.6
100,0.85,100,10,145602.8
100,0.85,100,15,137897.8
100,0.85,100,20,131588.2
100,0.85,100,30,123057.8
100,0.9,10,5,532447.2
100,0.9,10,10,483960.8
100,0.9,10,15,455249.6
100,0.9,10,20,436781.2
100,0.9,10,30,409057
100,0.9,20,5,373637
100,0.9,20,10,337358.6
100,0.9,20,15,319307.6
100,0.9,20,20,305631.6
100,0.9,20,30,285008.8
100,0.9,35,5,278437.6
100,0.9,35,10,252216.8
100,0.9,35,15,238564
100,0.9,35,20,228917.4
100,0.9,35,30,212817.8
100,0.9,50,5,231029.4
100,0.9,50,10,209832.4
100,0.9,50,15,198744.6
100,0.9,50,20,189566.6
100,0.9,50,30,177091
100,0.9,100,5,160762.2
100,0.9,100,10,145633.2
100,0.9,100,15,137954.2
100,0.9,100,20,131595
100,0.9,100,30,123556.8
100,0.95,10,5,532770.6
100,0.95,10,10,485720.6
100,0.95,10,15,457749.8
100,0.95,10,20,436630.2
100,0.95,10,30,408654.8
100,0.95,20,5,372671
100,0.95,20,10,338068
100,0.95,20,15,317960.4
100,0.95,20,20,304464.8
100,0.95,20,30,285391.6
100,0.95,35,5,278243.8
100,0.95,35,10,252156.4
100,0.95,35,15,238984
100,0.95,35,20,227662
100,0.95,35,30,213631.8
100,0.95,50,5,229639.8
100,0.95,50,10,208543.8
100,0.95,50,15,196836.6
100,0.95,50,20,188313.6
100,0.95,50,30,176845
100,0.95,100,5,160319.2
100,0.95,100,10,146218.8
100,0.95,100,15,137698.4
100,0.95,100,20,131308.6
100,0.95,100,30,122971.4
100,0.99,10,5,538861.2
100,0.99,10,10,486730.4
100,0.99,10,15,460172.8
100,0.99,10,20,439256.8
100,0.99,10,30,410209.4
100,0.99,20,5,376261.2
100,0.99,20,10,340183.8
100,0.99,20,15,321063
100,0.99,20,20,305546.4
100,0.99,20,30,286263
100,0.99,35,5,281143.8
100,0.99,35,10,254376.8
100,0.99,35,15,239495.6
100,0.99,35,20,228076
100,0.99,35,30,213096.8
100,0.99,50,5,233413.2
100,0.99,50,10,211588.2
100,0.99,50,15,199501
100,0.99,50,20,190278.2
100,0.99,50,30,176541.6
100,0.99,100,5,163493.8
100,0.99,100,10,148600.8
100,0.99,100,15,139282.6
100,0.99,100,20,132745
100,0.99,100,30,123435.8
